年平均每日交通量,主梁材質_預力混凝土,平均月相對濕度,橋梁總長(M),離海岸距離(公尺),設計垂直地震力係數,是否為跨水橋,橋梁最接近斷層距離,橋下有無租用,label
101220.0,1,75.18181818,671.0,15080,0.04,1,7079.87,0,0
55214.0,0,75.18181818,1130.0,16541,0.04,0,8617.4,1,0
105290.0,1,75.18181818,192.91,15771,0.04,1,7797.03,0,0
87605.0,1,75.18181818,26.1,14010,0.04,0,5986.55,0,0
31978.0,1,79.45075758,15.25,2070,0.05,0,16605.73,0,0
89867.0,1,75.18181818,32.1,14137,0.04,0,6111.82,0,0
105290.0,1,75.18181818,45.0,16131,0.04,1,8176.64,0,0
105290.0,1,75.18181818,158.8,15719,0.04,1,7740.25,0,0
107298.0,1,75.18181818,525.1,14602,0.04,1,6584.04,0,0
107298.0,1,75.18181818,27.1,14117,0.04,0,6092.32,0,0
49096.0,1,76.78156566,20.64,9263,0.04,0,16221.86,0,0
49096.0,1,76.78156566,84.3,10753,0.05,0,16188.65,0,0
9336.0,1,79.45075758,24.53,2214,0.04,1,16584.41,0,0
29856.0,1,79.45075758,77.42,2186,0.04,1,16683.75,0,0
31978.0,1,76.78156566,150.95,12028,0.04,1,15497.73,0,0
52494.0,1,75.18181818,49.05,14124,0.04,1,14511.95,0,0
52494.0,1,75.18181818,37.0,14661,0.04,0,14125.18,0,0
65392.0,1,75.18181818,120.7,15784,0.04,1,13290.4,0,0
37775.0,0,79.45075758,304.0,3263,0.04,1,17362.55,1,0
34584.0,0,79.45075758,304.0,3274,0.05,1,17419.48,1,0
37775.0,1,79.45075758,210.08,3195,0.05,0,17519.35,1,0
37775.0,1,79.45075758,100.0,4297,0.04,1,17108.56,0,0
37775.0,1,79.45075758,91.34,5526,0.04,1,16609.69,0,0
5781.0,1,79.45075758,60.0,7305,0.04,0,16728.29,0,0
52788.0,1,76.78156566,120.0,7761,0.05,1,16483.91,0,0
57815.0,1,76.78156566,181.28,8123,0.05,1,16249.94,0,0
52788.0,1,76.78156566,20.84,9038,0.04,1,16198.68,0,0
49096.0,1,76.78156566,57.0,10144,0.05,1,16309.29,0,0
49096.0,0,76.78156566,15.3,11064,0.05,0,16085.36,0,0
52788.0,1,76.78156566,120.07,11132,0.05,1,16001.78,0,0
65392.0,1,75.18181818,129.05,16111,0.04,0,12844.59,0,0
55214.0,0,75.18181818,54.31,16350,0.05,0,12402.14,0,0
65392.0,1,75.18181818,57.62,16518,0.05,0,12040.95,0,0
54426.0,1,75.18181818,200.05,17775,0.04,0,10504.57,1,0
65392.0,1,75.18181818,120.05,16631,0.04,0,11762.74,1,0
54426.0,0,75.18181818,160.0,16553,0.04,0,8628.41,1,0
54426.0,1,75.18181818,26.6,16325,0.05,0,8380.34,0,0
54426.0,1,75.18181818,97.1,16135,0.04,1,8173.23,0,0
107298.0,1,75.18181818,66.81,14130,0.04,0,6111.82,0,0
107298.0,1,75.18181818,32.1,14394,0.04,0,6374.83,0,0
107298.0,1,75.18181818,58.25,14235,0.04,0,6213.84,0,0
78897.0,1,75.18181818,28.34,14071,0.04,0,6046.56,0,0
78897.0,1,76.78156566,32.56,12890,0.04,0,4792.34,0,0
78897.0,1,76.78156566,32.1,12733,0.04,0,4621.19,0,0
78897.0,1,76.78156566,57.8,12650,0.04,0,4529.24,0,0
78897.0,1,76.78156566,28.95,12496,0.04,0,4354.2,0,0
78897.0,1,76.78156566,48.07,11060,0.04,0,2709.84,0,0
78897.0,1,76.78156566,47.17,10697,0.04,0,2243.31,0,0
78897.0,1,76.78156566,1000.0,10293,0.04,1,1403.92,1,0
78897.0,1,76.78156566,76.58,10089,0.04,0,821.93,1,0
78897.0,1,76.78156566,76.58,9857,0.04,0,171.57,0,0
78897.0,1,76.78156566,47.03,9771,0.04,0,0.0,0,0
78897.0,1,76.78156566,47.16,9779,0.04,0,0.0,1,0
78897.0,1,76.78156566,25.76,9482,0.04,0,1317.72,0,0
55550.0,1,76.78156566,36.05,9796,0.04,1,2515.75,0,0
55550.0,1,76.78156566,71.56,7381,0.04,0,6293.04,0,0
30833.0,1,75.18181818,980.0,14905,0.04,0,13502.91,0,0
28758.0,1,75.18181818,1628.0,13262,0.04,1,14258.05,0,0
30833.0,0,75.18181818,532.0,14503,0.04,1,14000.3,0,0
28758.0,0,75.18181818,541.0,14452,0.04,0,13974.92,0,0
28758.0,1,75.18181818,870.0,14862,0.04,0,13536.09,0,0
30833.0,0,75.18181818,1861.0,15659,0.04,0,11989.17,1,0
28758.0,0,75.18181818,1923.0,15531,0.04,0,12006.81,1,0
30833.0,1,75.18181818,1283.0,16583,0.04,1,11039.93,1,0
28758.0,1,75.18181818,1591.0,16523,0.04,1,10932.52,1,0
28758.0,1,75.18181818,210.0,16708,0.05,0,11493.89,1,0
